NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures
NCT07052877,The Effect of Glioblastoma PSMA Expression Following Tumour VEGF Blockade From Bevacizumab,https://clinicaltrials.gov/study/NCT07052877,GUAVA,NOT_YET_RECRUITING,This trial is a single arm study for patients receiving bevacizumab for IDH-wildtype glioblastoma. Patients receiving bevacizumab (an anti-VEGF therapy) will receive PSMA scans to investigate the role of PSMA expression in glioblastoma and its relationship to VEGF expression.,NO,Glioblastoma|Glioblastoma Multiforme (GBM),DIAGNOSTIC_TEST: PSMA PET/CT scan,"Changes in PSMA PET metabolic tumour volume (MTV) before and after bevacizumab administration., Prior to first administration of bevacizumab to 6 weeks after.",,"Changes in PSMA PET SUVmax before and after bevacizumab administration., Prior to first administration of bevacizumab to 6 weeks after.|Changes in PSMA PET SUVmean before and after bevacizumab administration., Prior to first administration of bevacizumab to 6 weeks after.|Changes in PSMA PET SUVpeak before and after bevacizumab administration., Prior to first administration of bevacizumab to 6 weeks after."
NCT07052864,IV Dexamethasone in Preventing Post Spinal Hypotension,https://clinicaltrials.gov/study/NCT07052864,,ACTIVE_NOT_RECRUITING,Orthopedic lower limb procedures are carried out under spinal anesthesia which involves administration of drugs in the space surrounding the spinal cord. From there the drug acts on the spinal cord blocking electrical signals moving across nerve fibers thereby providing sufficient pain relief and surgical conditions. However blocking of these fibers result in reduce signal transmission to blood vessels and heart resulting in fall in blood pressure. Various drugs can be used to treat or prevent this hypotension. One such drug is Dexamethasone which is a steroid. This drug can be administered before spinal anesthesia through Intravenous route to prevent fall in blood pressure.,NO,Hypotension During Surgery,DRUG: Dexamethasone|DRUG: Placebo,"Systolic Blood Pressure, This is the highest blood pressure during cardiac cycle occurring at the peak of systole measured by Non invasive automated blood pressure cuff, baseline, 5 mins, 10 mins, 15 mins, 20 mins, 25 mins,30 mins|Diastolic Blood Pressure, This is the lowest blood pressure during cardiac cycle measured by Non invasive automated blood pressure cuff, baseline, 5 mins, 10 mins, 15 mins, 20 mins, 25 mins,30 mins|Mean Blood Pressure, This is the average blood pressure during cardiac cycle measured by Non invasive automated blood pressure cuff, baseline, 5 mins, 10 mins, 15 mins, 20 mins, 25 mins,30 mins","Number of Hypotensive episodes, This will be the number of times in the intraoperative period the patient experience fall in either systolic, diastolic or mean blood pressure by more than 20% from baseline, Intraoperative period|Rescue Phenylephrine, This will be the total amount of phenylephrine administered in intraoperative period to the patient in case of fall in either systolic, diastolic or mean blood pressure by more than 20% from baseline, Intraoperative period|Rescue intravenous fluid, This will be the total amount of IV crystalloid fluid administered in intraoperative period to the patient in case of fall in either systolic, diastolic or mean blood pressure by more than 20% from baseline, Intraoperative period",
NCT07052851,"Performance of CCoat Intra-Articular Injections in Mild to Moderate Knee Osteoarthritis: A Prospective, Randomized, Double-Blind, Multi-center Trial",https://clinicaltrials.gov/study/NCT07052851,,NOT_YET_RECRUITING,"Performance of CCoat Intra-Articular Injections in Mild to Moderate Knee Osteoarthritis: A Prospective, Randomized, Double-Blind, Multi-center Trial",NO,"Osteoarthritis, Knee","DEVICE: CCoat, Liposphere Ltd|DEVICE: Synvisc-One® (hylan G-F 20)","Change from baseline in Knee injury and Osteoarthritis Outcome Score (KOOS) Pain score at 12 weeks, The change in KOOS Pain score from baseline to 12 weeks visit will be compared between the treatment groups using a repeated measures analysis of covariance (ANCOVA, SAS® MIXED procedure). The model will include the following fixed effects: treatment group, visit, treatment group by visit interaction with Baseline KOOS Pain, K/L grade, and center entered as covariates. The principal statistical analysis will be a comparison between the treatment groups, derived from the visit by treatment group interaction term from the model. The adjusted mean change from baseline in KOOS Pain scores at 12 weeks post treatment initiation will be estimated from the model (LS Means) interaction term for each group as well as the difference between the adjusted means and presented together with 95% Confidence Intervals (CI's)., Time Frame: Day 0, up to week 12","The secondary objective is to assess change from baseline to 2 and 12 weeks in KOOS Symptoms and ADL scores., * Change from baseline in Knee injury and Osteoarthritis Outcome Score (KOOS) Symptoms score at 12 weeks - \[Time Frame: Day 0, up to week 12\]
* Change from baseline in Knee injury and Osteoarthritis Outcome Score (KOOS) Activities of Daily Living (ADL) score at 12 weeks - \[Time Frame: Day 0, up to week 12\]
* Change from baseline in Knee injury and Osteoarthritis Outcome Score (KOOS) Quality of Life (QoL) score at 12 weeks - \[Time Frame: Day 0, up to week 12\], baseline to 2 and 12 weeks in KOOS Symptoms and ADL scores.",
NCT07052838,Efficacy and Safety of HSK392975 in Anti-C5 Treated PNH Patients With Anemia,https://clinicaltrials.gov/study/NCT07052838,,RECRUITING,The purpose of this study is to evaluate the efficacy of HSK39297 tablets in paroxysmal nocturnal hemoglobinuria patients with anemia after stable treatment of anti-C5 antibody.,NO,Paroxysmal Nocturnal Haemoglobinuria (PNH),DRUG: HSK39297 tablets,"Proportion of participants achieving hemoglobin levels ≥ 12 g/dL at least on three out of four measurements in the absence of red blood cell transfusions, 18 to 24 weeks","Proportion of participants with increase in hemoglobin levels from baseline of ≥20 g/L at least on three out of four measurements in the absence of red blood cell transfusions, 18 to 24 weeks|Percentage of patients who did not receive a blood transfusion., 18 to 24 weeks|Change from baseline in hemoglobin, Baseline, week 18 to 24|Change From Baseline in Reticulocyte Count, Baseline, week 18 to 24|Change from baseline in FACIT-Fatigue score, Baseline, week 18 to 24|Percent change from baseline in LDH, Baseline, week 18 to 24|Rate of breakthrough hemolysis (BTH), 24 weeks|Proportion of participants with Major Adverse Vascular Events (MAVEs), 24 weeks",
NCT07052825,The Role of Capsular Tension Rings in Intraocular Lens Stability in High Myopia Cataract Patients: A Prospective Self-Controlled Study,https://clinicaltrials.gov/study/NCT07052825,,RECRUITING,"Study Purpose:

This prospective, self-controlled clinical study aims to evaluate the impact of capsular tension rings (CTR) on intraocular lens (IOL) stability in high myopia patients undergoing bilateral cataract surgery. Each patient will receive CTR implantation in one eye, with the fellow eye serving as control. Postoperative outcomes, including visual acuity, refraction, IOL positioning, and visual quality, will be compared between eyes to assess the effectiveness of CTR.

Study Methods:

Eligible participants (axial length ≥ 26.0 mm) will undergo femtosecond-assisted phacoemulsification with identical IOLs implanted in both eyes. One eye will be randomly assigned to receive a CTR. All surgeries will be performed by the same surgeon. Follow-up will be conducted at 1 day, 1 week, 1 month, 3 months, and 6 months postoperatively. Assessments will include UCVA, BCVA, refractive error, anterior segment OCT, IOL decentration and tilt, and visual quality (iTrace).

Sample Size and Population:

A total of 60 patients (120 eyes) will be enrolled. Inclusion criteria include age ≥ 18 years and bilateral cataracts with high myopia. Exclusion criteria include other ocular diseases, history of severe ocular trauma, or poor visual potential. Patients will be stratified by axial length into three groups: ≤28 mm, 28-30 mm, and \>30 mm.

Study Procedure:

After informed consent and baseline examinations (including ocular biometry and imaging), patients will undergo surgery and be followed at specified intervals. All data will be managed securely. Comparative analysis between CTR and non-CTR eyes will be performed to evaluate the effect of CTR on IOL stability and visual outcomes in highly myopic cataract patients.",NO,High Myopia|Cataract,PROCEDURE: CTR implantation,"Tilt and Decentration, measured by using anterior segment OCT, Postoperative follow-up visits will be scheduled at 1 day, 1 week, 1 month, 3 months, and 6 months","Anterior Capsular Contraction, Measured by Anterior Segment Photography and ImageJ, 1 day, 1 week, 1 month, 3 months, and 6 months postoperatively|visual acuity, UDVA AND BCVA, 1 day, 1 week, 1 month, 3 months, and 6 months postoperatively|Visual Quality, Measured by iTace, 1 day, 1 week, 1 month, 3 months, and 6 months postoperatively",
NCT07052812,Exploring The Metacognitive Beliefs in OCD: A Randomized Controlled Trial of Metacognitive Therapy,https://clinicaltrials.gov/study/NCT07052812,MCT-OCD,COMPLETED,"Exploring The Metacognitive Beliefs in OCD: A Randomized Controlled Trial of Metacognitive Therapy Introduction Obsessive-Compulsive Disorder (OCD) is a mental health condition characterized by intrusive thoughts (obsessions) and repetitive behaviors (compulsions). These symptoms cause significant distress and impair daily functioning. OCD can be difficult to treat, and relapse rates are high even after conventional treatments. This study evaluates whether Metacognitive Therapy (MCT) is more effective than Treatment as Usual (TAU) in reducing OCD symptoms and improving overall well-being. The study explores how MCT, which targets metacognitive beliefs (thoughts about thoughts), can help manage symptoms more effectively than standard treatments.

Study Goal and Research Question

The primary goal of this study is to assess the effectiveness of Metacognitive Therapy (MCT) compared to Treatment as Usual (TAU) for treating Obsessive-Compulsive Disorder (OCD). The key research question is:

Does Metacognitive Therapy (MCT) reduce OCD symptoms more effectively than Treatment as Usual (TAU)? Study Design

This study is a Randomized Controlled Trial (RCT), which means participants are randomly assigned to one of two treatment groups:

Metacognitive Therapy (MCT): Participants in this group receive a 12-session therapy program that focuses on addressing harmful metacognitive beliefs, such as the need to control thoughts and the belief that thoughts can cause harm.

Treatment as Usual (TAU): Participants in this group receive the standard treatment for OCD, which may include Exposure and Response Prevention (ERP) and/or medication.

Who Can Participate? Adults aged 18 and older who have been diagnosed with OCD are eligible to participate in the study. To be eligible, participants must have moderate to severe OCD symptoms, measured by the Yale-Brown Obsessive-Compulsive Scale (Y-BOCS). Individuals with severe mental health conditions other than OCD, such as psychosis or substance use disorders, are excluded from participation. Participants must also be able to attend therapy sessions and complete the necessary assessments throughout the study.

How the Study Was Conducted Randomization: Participants were randomly assigned to either the MCT group or the TAU group.

MCT Group: Participants in the MCT group attended 12 therapy sessions, which focused on changing metacognitive beliefs that contribute to OCD symptoms.

TAU Group: Participants in the TAU group received standard treatment for OCD, which may have included a combination of therapy and medications.

Assessments: Participants were assessed at three time points: before treatment (pre-treatment), immediately after treatment (post-treatment), and six months after treatment (follow-up). These assessments measured changes in OCD symptoms, metacognitive beliefs, and overall quality of life.

Study Procedures and Timeline Pre-Treatment Assessment: Participants completed initial assessments to measure their OCD symptoms, metacognitive beliefs, and quality of life.

Therapy Sessions: Participants in both groups attended their respective therapy sessions (12 sessions for MCT, standard sessions for TAU).

Post-Treatment and Follow-Up Assessments: After the therapy ended, participants completed post-treatment assessments. Six months later, they participated in a follow-up assessment to measure the long-term effectiveness of the treatment.

Important Information for Participants Metacognitive Therapy (MCT) is designed to help people change the way they think about their thoughts, addressing beliefs such as the need to control thoughts or the belief that having certain thoughts can cause harm.

Treatment as Usual (TAU) is the standard treatment for OCD, which may include Exposure and Response Prevention (ERP) therapy or medication management.

Participants in this study can withdraw at any time, and their decision will not affect their treatment or relationship with their healthcare provider.

Expected Benefits If MCT is found to be more effective than TAU, it may offer a new, personalized approach to treating OCD, especially for individuals whose symptoms are driven by dysfunctional metacognitive beliefs. Additionally, since MCT targets the underlying thought processes that maintain OCD symptoms, it may provide longer-lasting symptom relief and reduce the likelihood of relapse compared to standard treatments.

Study Impact This study will provide important insights into whether MCT can provide better outcomes for individuals with OCD compared to standard treatments. If MCT is shown to be effective, it could become a valuable treatment option for those who do not respond well to traditional therapies like ERP. Moreover, MCT's focus on addressing metacognitive beliefs may lead to more durable improvements in OCD symptoms.",NO,Obsessive-Compulsive Disorder (OCD),BEHAVIORAL: MCT,"Change in Yale-Brown Obsessive Compulsive Scale (Y-BOCS) total score, The Y-BOCS is a 10-item clinician-rated scale (scores 0-40) measuring OCD symptom severity. Higher scores indicate worse symptoms. Assessed at baseline, post-treatment (week 12), and 6-month follow-up. Primary endpoint is baseline to week 12 change., Baseline, Week 12 (post-treatment), 6-month follow-up","Change in Metacognitions Questionnaire-30 (MCQ-30) total score, The MCQ-30 assesses metacognitive beliefs (30 items, scored 30-120). Higher scores indicate more dysfunctional metacognitions. Administered at baseline, post-treatment (week 12), and 6-month follow-up., Baseline, Week 12 (post-treatment), 6-month follow-up|Change in WHOQOL-BREF global score, 26-item quality of life measure (scores 26-130). Higher scores indicate better QoL. Assessed at baseline, post-treatment, and follow-up., Baseline, Week 12 (post-treatment), 6-month follow-up",
NCT07052799,Aspirin Continuation or Interruption in Patients at Moderate Risk for Cardiovascular Events Undergoing Colonoscopy and/or Polypectomy; a Placebo-controlled Trial,https://clinicaltrials.gov/study/NCT07052799,,NOT_YET_RECRUITING,"One in 4 adults between 50 and 80 reports taking regular aspirin. The prevalence of aspirin uses increases with age as well as co-morbid vascular diseases. Patients with cardiovascular diseases are at risk of developing colorectal neoplasms. In patients undergoing screening colonoscopy, interruption of aspirin is believed to be associated with increased cardiovascular events. Continuation of aspirin can however be associated with an increased risk of post-polypectomy bleeding. International guidelines on periendoscopy management recommend the continuation of aspirin based on evidence from cohort studies, mostly retrospective, suggesting that the rate of bleeding is low. Cardiovascular complications from aspirin interruption can lead to disabilities and occasional deaths. The cardiovascular risks following aspirin continuation or interruption in endoscopy have not been well studied. There has been no randomized study to compare either strategy. Endoscopists are divided on their opinion on whether to stop or to continue aspirin. The proposed large randomized controlled trial (RCT) is powered to detect small differences in both outcomes. Findings from this RCT will address this important question and inform our clinical practice.",NO,Myocardial Infarction (MI)|Cardiovascular Events|Post Polypectomy Bleeding in Antiplatelet Patients,DRUG: Aspirin 80mg|DRUG: Placebo Oral Tablet,"cardiovascular events, cardiovascular events defined according to the Antithrombotic Trialists' criteria (nonfatal myocardial infarction, nonfatal stroke, or death from a vascular cause), 30 days","major bleeding during colonoscopy, major bleeding during colonoscopy defined as bleeding requiring transfusion, angiographic embolization, or surgery. PPB is defined by bleeding after withdrawal of the colonoscope, 30 days|mortality by all causes, mortality by all causes, 30 days",
NCT07052786,Development and Effectiveness Evaluation of a Clustered Care Guideline Within Individualized Developmental Care: RCT,https://clinicaltrials.gov/study/NCT07052786,Guideline,NOT_YET_RECRUITING,"The Individualized Developmental Care (IDC) model was developed to minimize the negative impact of the neonatal intensive care environment and to support infants' physiological stability. It supports the practice of clustered care, which refers to grouping routine medical and nursing procedures into a single care time period to reduce handling and allow the infant uninterrupted rest and maintenance of the sleep-wake cycle.

This study aims to develop a clustered care practice guideline and evaluate its effectiveness. The study was designed as a single-blind randomized controlled trial, where the participating nurses will not be informed about their group allocation (intervention or control) to reduce bias.The study will be conducted between July and September 2025 in the level 2 and 3 NICUs of Necmettin Erbakan University Faculty of Medicine Hospital in Konya, Turkey.

The study population includes all 44 nurses working in these NICUs who meet the inclusion criteria and agree to participate. Since the entire population is accessible, total population sampling will be used. After data collection is completed, a post hoc power analysis will be conducted using G\*Power (v3.1.9.2).

Data will be collected using the ""Descriptive Information Form for the Infant and the Nurse"" and the ""Clustered Care Practice Guideline"". Pre-test data will be collected before training, and post-test data will be collected 4-6 weeks after the training.

The intervention group will receive the Clustered Care Practice Training Based on Individualized Developmental Care in two in-person sessions (approx. 45 minutes per session), delivered in small groups (11-12 participants). A training booklet prepared by the researchers will be distributed at the end of the sessions.

The normality of the data will be assessed using the Kolmogorov-Smirnov test, normal distribution curves, and skewness-kurtosis values. Parametric tests will be used for normally distributed data; non-parametric tests will be used otherwise. A significance level of P\<0.05 will be applied.

Ethical approval was obtained from the Ethics Committee of KTO Karatay University Pharmaceutical and Medical Research (decision no: 2022/014, date: 21.06.2022). Institutional permission was obtained from NEU Faculty of Medicine Hospital. Written informed consent will be obtained from all participating nurses and from parents of the observed infants.",NO,Premature Infant|Clustered Care|Neonatal Intensive Care Unit|Developmental Care,BEHAVIORAL: Infants will receive group care based on individualized developmental care according to the guide.|BEHAVIORAL: Standard care,"Nurse behavior change, Measured by test score change from pre- to post-test within 6 weeks, within 6 weeks","Nurses' opinions on the effectiveness of the clinical guideline, Evaluation of nurses' perceptions regarding the effectiveness, applicability, and usability of the individualized developmental clustered care guideline., 4-6 weeks post-intervention",
NCT07052773,Clinical Evaluation of the Lung Cancer AI-based Decision Support Tool in Low-Dose Lung CT,https://clinicaltrials.gov/study/NCT07052773,GenMedAILCSD1,COMPLETED,"The goal of this observational study is to clinically validate the accuracy of an AI-based decision support tool-the Lung Cancer Detection System (LCDS)-for detecting lung nodules in asymptomatic adults aged 50-79 with a history of heavy smoking who underwent low-dose chest CT (LDCT) scans.

The main questions it aims to answer are:

* Can the LCDS accurately detect the presence of solid pulmonary nodules on LDCT scans, as measured by sensitivity and specificity?
* How does the LCDS's performance compare to existing AI systems using the Area Under the Curve-Receiver Operating Characteristic (AUC/ROC) Curve?

Researchers will compare the AI-based interpretations to a ground truth established by consensus among radiologists' double-readings to see if the LCDS can accurately classify cases as 'lung nodule presence' or 'lung nodule absence'.

Participants will:

* Have their de-identified LDCT scans (collected between 2018 and 2023) reviewed retrospectively.
* Be evaluated through the LCDS tool, which will classify cases based on lung nodule presence.

Contribute to performance evaluation using sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV), and ROC analysis.",NO,Lung Cancer Screening,DEVICE: Lung Cancer Detection System (LCDS),"Sensitivity of LCDS for Detection of Solid Pulmonary Nodules, Proportion of true positive cases correctly identified by the AI-based Lung Cancer Detection System (LCDS) out of all subjects with radiologist-confirmed pulmonary nodules (Ground Truth)., Through study completion, an average of 1 year|Specificity of LCDS for Detection of Solid Pulmonary Nodules, Proportion of true negative cases correctly identified by the LCDS out of all subjects without pulmonary nodules, as defined by the radiologist consensus ground truth., Through study completion, an average of 1 year","Area Under the ROC Curve (AUC) for LCDS Performance, The area under the receiver operating characteristic (ROC) curve comparing AI classifications with the radiologist-defined ground truth for nodule detection., Through study completion, an average of 1 year|False Positive Rate per Case, The average number of false positive nodule detections made by the Lung Cancer Detection System (LCDS) per LDCT scan. A false positive is defined as a nodule detected by the AI system that was not confirmed by the radiologist-established ground truth., Through study completion, an average of 1 year",
NCT07052760,Imaging of Solid Tumors Using DLL3 SPECT,https://clinicaltrials.gov/study/NCT07052760,,NOT_YET_RECRUITING,"This is a single arm, pilot trial that evaluates the ability of a novel imaging agent (111In-ABD147) to detect metastatic cancer in participants with solid tumors. 111In-ABD147 is a high affinity Delta-like ligand 3 (DLL3) antigen binding domain fused to an engineered humanized Fc to create an antibody (VHH-Fc) that is bio-conjugated with a DOTA linker-chelator to a 111In radiometal. DLL3 is expressed on a variety of tumors, particularly those with neuroendocrine features.",NO,Solid Tumor Cancer|Castration Resistant Prostate Cancer|Castration Resistant Prostate Cancer (CRPC)|Neuroendocrine (NE) Tumors,DRUG: 111In-ABD147|PROCEDURE: Single-photon emission computed tomography (SPECT)/Computerized tomography (CT),"Standardized Uptake Values (SUVs), Standardized Uptake Values (SUVs) will be calculated for up to five lesions in each patient, with mediastinal blood pool being used as background activity. The median and range will be reported across all Response Evaluation Criteria in Solid Tumors (RECIST) measurable lesions broken down by location (organ metastases, nodal metastases and bone metastases)., 2 days|Tumor-to-background ratio (TBR), Tumor-to-background ratios (TBR) ratios will be calculated for up to five lesions in each patient, with mediastinal blood pool being used as background activity. The median and range of the measured TBRs will be reported across all RECIST measurable lesions broken down by location (organ metastases, nodal metastases and bone metastases)., 2 days","Percentage of participants with treatment-emergent adverse events, The percentage of participants with reported treatment-emergent adverse events and the 95% confidence interval following 111In-ABD147 injection will be descriptively reported, using NCI Common Terminology Criteria for Adverse Events (CTCAE) version 5.0., Up to 7 days",
